,Answer_Score,Answer_Body,Answer_CommentCount,Id,CreationDate,Score,Body,CommentCount,AcceptedAnswerId,ViewCount,Title,Tags,AnswerCount,FavoriteCount,dect_title_que
0,522,"an explicit cast to double like this isn't necessary:

double trans = (double) trackbar1.value / 5000.0;


identifying the constant as 5000.0 (or as 5000d) is sufficient:

double trans = trackbar1.value / 5000.0;
double trans = trackbar1.value / 5000d;

",1,4,2008-07-31T21:42:52.667,794,"<p>I want to assign the decimal variable ""trans"" to the double variable ""this.Opacity"".</p>
<pre class=""lang-cs prettyprint-override""><code>decimal trans = trackBar1.Value / 5000;
this.Opacity = trans;
</code></pre>
<p>When I build the app it gives the following error:</p>
<blockquote>
<p>Cannot implicitly convert type decimal to double</p>
</blockquote>
",8,7.0,70633,How to convert Decimal to Double in C#?,<c#><floating-point><type-conversion><double><decimal>,14,0.0,Question
1,160,"the parent div needs to have a defined width, either in pixels or as a percentage. in internet&nbsp;explorer&nbsp;7, the parent div needs a defined width for child percentage divs to work correctly.
",0,6,2008-07-31T22:08:08.620,319,"<p>I have an absolutely positioned <code>div</code> containing several children, one of which is a relatively positioned <code>div</code>. When I use a <code>percentage-based width</code> on the child <code>div</code>, it collapses to <code>0 width</code> on IE7, but not on Firefox or Safari.</p>
<p>If I use <code>pixel width</code>, it works. If the parent is relatively positioned, the percentage width on the child works.</p>
<ol>
<li>Is there something I'm missing here?</li>
<li>Is there an easy fix for this besides the <code>pixel-based width</code> on the child?</li>
<li>Is there an area of the CSS specification that covers this?</li>
</ol>
",0,31.0,23465,Why did the width collapse in the percentage width child element in an absolutely positioned parent on Internet Explorer 7?,<html><css><internet-explorer-7>,7,0.0,Question
2,2385,"an easy to understand and simple solution.
// save today's date.
var today = datetime.today;

// calculate the age.
var age = today.year - birthdate.year;

// go back to the year in which the person was born in case of a leap year
if (birthdate.date > today.addyears(-age)) age--;

however, this assumes you are looking for the western idea of the age and not using east asian reckoning.
",8,9,2008-07-31T23:40:59.743,2199,"<p>Given a <code>DateTime</code> representing a person's birthday, how do I calculate their age in years?</p>
",10,1404.0,784860,How do I calculate someone's age based on a DateTime type birthday?,<c#><.net><datetime>,74,0.0,Question
3,222,"the monte carlo method, as mentioned, applies some great concepts but it is, clearly, not the fastest, not by a long shot, not by any reasonable measure. also, it all depends on what kind of accuracy you are looking for. the fastest π i know of is the one with the digits hard coded. looking at pi and pi[pdf], there are a lot of formulae.

here is a method that converges quickly — about 14 digits per iteration. pifast, the current fastest application, uses this formula with the fft. i'll just write the formula, since the code is straightforward. this formula was almost found by ramanujan and discovered by chudnovsky. it is actually how he calculated several billion digits of the number — so it isn't a method to disregard. the formula will overflow quickly and, since we are dividing factorials, it would be advantageous then to delay such calculations to remove terms.





where,



below is the brent–salamin algorithm. wikipedia mentions that when a and b are ""close enough"" then (a + b)² / 4t will be an approximation of π. i'm not sure what ""close enough"" means, but from my tests, one iteration got 2 digits, two got 7, and three had 15, of course this is with doubles, so it might have an error based on its representation and the true calculation could be more accurate.

let pi_2 iters =
    let rec loop_ a b t p i =
        if i = 0 then a,b,t,p
        else
            let a_n = (a +. b) /. 2.0 
            and b_n = sqrt (a*.b)
            and p_n = 2.0 *. p in
            let t_n = t -. (p *. (a -. a_n) *. (a -. a_n)) in
            loop_ a_n b_n t_n p_n (i - 1)
    in 
    let a,b,t,p = loop_ (1.0) (1.0 /. (sqrt 2.0)) (1.0/.4.0) (1.0) iters in
    (a +. b) *. (a +. b) /. (4.0 *. t)


lastly, how about some pi golf (800 digits)? 160 characters!

int a=10000,b,c=2800,d,e,f[2801],g;main(){for(;b-c;)f[b++]=a/5;for(;d=0,g=c*2;c-=14,printf(""%.4d"",e+d/a),e=d%a)for(b=c;d+=f[b]*a,f[b]=d%--g,d/=g--,--b;d*=b);}

",2,19,2008-08-01T05:21:22.257,351,"<p>I'm looking for the fastest way to obtain the value of π, as a personal challenge. More specifically, I'm using ways that don't involve using <code>#define</code> constants like <code>M_PI</code>, or hard-coding the number in.</p>

<p>The program below tests the various ways I know of. The inline assembly version is, in theory, the fastest option, though clearly not portable. I've included it as a baseline to compare against the other versions. In my tests, with built-ins, the <code>4 * atan(1)</code> version is fastest on GCC 4.2, because it auto-folds the <code>atan(1)</code> into a constant. With <code>-fno-builtin</code> specified, the <code>atan2(0, -1)</code> version is fastest.</p>

<p>Here's the main testing program (<code>pitimes.c</code>):</p>

<pre class=""lang-c prettyprint-override""><code>#include <math.h>
#include <stdio.h>
#include <time.h>

#define ITERS 10000000
#define TESTWITH(x) {                                                       \
    diff = 0.0;                                                             \
    time1 = clock();                                                        \
    for (i = 0; i < ITERS; ++i)                                             \
        diff += (x) - M_PI;                                                 \
    time2 = clock();                                                        \
    printf(""%s\t=> %e, time => %f\n"", #x, diff, diffclock(time2, time1));   \
}

static inline double
diffclock(clock_t time1, clock_t time0)
{
    return (double) (time1 - time0) / CLOCKS_PER_SEC;
}

int
main()
{
    int i;
    clock_t time1, time2;
    double diff;

    /* Warmup. The atan2 case catches GCC's atan folding (which would
     * optimise the ``4 * atan(1) - M_PI'' to a no-op), if -fno-builtin
     * is not used. */
    TESTWITH(4 * atan(1))
    TESTWITH(4 * atan2(1, 1))

#if defined(__GNUC__) && (defined(__i386__) || defined(__amd64__))
    extern double fldpi();
    TESTWITH(fldpi())
#endif

    /* Actual tests start here. */
    TESTWITH(atan2(0, -1))
    TESTWITH(acos(-1))
    TESTWITH(2 * asin(1))
    TESTWITH(4 * atan2(1, 1))
    TESTWITH(4 * atan(1))

    return 0;
}
</code></pre>

<p>And the inline assembly stuff (<code>fldpi.c</code>) that will only work for x86 and x64 systems:</p>

<pre class=""lang-c prettyprint-override""><code>double
fldpi()
{
    double pi;
    asm(""fldpi"" : ""=t"" (pi));
    return pi;
}
</code></pre>

<p>And a build script that builds all the configurations I'm testing (<code>build.sh</code>):</p>

<pre><code>#!/bin/sh
gcc -O3 -Wall -c           -m32 -o fldpi-32.o fldpi.c
gcc -O3 -Wall -c           -m64 -o fldpi-64.o fldpi.c

gcc -O3 -Wall -ffast-math  -m32 -o pitimes1-32 pitimes.c fldpi-32.o
gcc -O3 -Wall              -m32 -o pitimes2-32 pitimes.c fldpi-32.o -lm
gcc -O3 -Wall -fno-builtin -m32 -o pitimes3-32 pitimes.c fldpi-32.o -lm
gcc -O3 -Wall -ffast-math  -m64 -o pitimes1-64 pitimes.c fldpi-64.o -lm
gcc -O3 -Wall              -m64 -o pitimes2-64 pitimes.c fldpi-64.o -lm
gcc -O3 -Wall -fno-builtin -m64 -o pitimes3-64 pitimes.c fldpi-64.o -lm
</code></pre>

<p>Apart from testing between various compiler flags (I've compared 32-bit against 64-bit too because the optimizations are different), I've also tried switching the order of the tests around. But still, the <code>atan2(0, -1)</code> version still comes out on top every time.</p>
",17,531.0,67439,What is the fastest way to get the value of π?,<performance><algorithm><language-agnostic><unix><pi>,24,0.0,Question
4,45,"i've had no trouble using the bsd sockets api in c++, in gnu/linux. here's the sample program i used:

#include 

int
main()
{
    return af_inet;
}


so my take on this is that z/os is probably the complicating factor here, however, because i've never used z/os before, much less programmed in it, i can't say this definitively. :-p
",0,25,2008-08-01T12:13:50.207,175,"<p>I'm having issues getting the C sockets API to work properly in C++ on z/OS.</p>
<p>Although I am including <code>sys/socket.h</code>, I still get compile time errors telling me that <code>AF_INET</code> is not defined.</p>
<p>Am I missing something obvious, or is this related to the fact that being on z/OS makes my problems much more complicated?</p>
<p>I discovered that there is an <code>#ifdef</code> that I'm hitting. Apparently z/OS isn't happy unless I define which ""type"" of sockets I'm using with:</p>
<pre><code>#define _OE_SOCKETS
</code></pre>
<p>Now, I personally have no idea what this <code>_OE_SOCKETS</code> is actually for, so if any z/OS sockets programmers are out there (all 3 of you), perhaps you could give me a rundown of how this all works?</p>
<p>Test App</p>
<pre><code>#include <sys/socket.h>

int main()
{
    return AF_INET;
}
</code></pre>
<p>Compile/Link Output:</p>
<pre><code>cxx -Wc,xplink -Wl,xplink -o inet_test inet.C

""./inet.C"", line 5.16: CCN5274 (S) The name lookup for ""AF_INET"" did not find a declaration.
CCN0797(I) Compilation failed for file ./inet.C. Object file not created.
</code></pre>
<p>A check of sys/sockets.h does include the definition I need, and as far as I can tell, it is not being blocked by any <code>#ifdef</code> statements.</p>
<p>I have however noticed it contains the following:</p>
<pre><code>#ifdef __cplusplus
  extern ""C"" {
#endif
</code></pre>
<p>which encapsulates basically the whole file? Not sure if it matters.</p>
",1,1443907.0,15845,How to use the C socket API in C++ on z/OS,<c++><c><sockets><mainframe><zos>,9,0.0,Question
5,34,"i don't think you have anything to worry about. if system.totalmemory goes down you can relax. it may very well be the os that doesn't reclaim the newly freed memory (in anticipation of the next time flash player will ask for more memory).

try doing something else that is very memory intensive and i'm sure that you'll notice that the memory allocated to flash player will decrease and be used for the other process instead.

as i've understood it, memory management in modern os's isn't intuitive from the perspective of looking at the amounts allocated to each process, or even the total amount allocated.

when i've used my mac for 5 minutes 95% of my 3 gb ram is used, and it will stay that way, it never goes down. that's just the way the os handles memory.

as long as it's not needed elsewhere even processes that have quit still have memory assigned to them (this can make them launch quicker the next time, for example).
",0,34,2008-08-01T12:30:57.630,96,"<p>How do I forcefully unload a <code>ByteArray</code> from memory using ActionScript 3?</p>

<p>I have tried the following:</p>

<pre><code>// First non-working solution
byteArray.length = 0;
byteArray = new ByteArray();

// Second non-working solution
for ( var i:int=0; i < byteArray.length; i++ ) {
    byteArray[i] = null;
}
</code></pre>
",0,,11240,How to unload a ByteArray using Actionscript 3?,<arrays><actionscript-3><apache-flex>,8,0.0,Question
6,40,"to make it more readable and maintainable, you can also split it up into multiple linq statements.


first, select your data into a new list, let's call it x1, do a projection if desired
next, create a distinct list, from x1 into x2, using whatever distinction you require
finally, create an ordered list, from x2 into x3, sorting by whatever you desire 

",0,59,2008-08-01T13:14:33.797,117,"<p>I have a <code>DataTable</code> with a <code>Name</code> column. I want to generate a collection of the unique names ordered alphabetically. The following query ignores the <em>order by</em> clause.</p>

<pre><code>var names =
    (from DataRow dr in dataTable.Rows
    orderby (string)dr[""Name""]
    select (string)dr[""Name""]).Distinct();
</code></pre>

<p>Why does the <code>orderby</code> not get enforced?</p>
",0,43110.0,26917,"How do I get a distinct, ordered list of names from a DataTable using LINQ?",<c#><linq><.net-3.5>,7,0.0,Question
7,16,"a few things that have bitten me:


:main: -- rdoc uses only the last one evaluated; best to make sure there's only one in your project and you don't also use the --main command-line argument.
same as previous, but for :title:
:section: doesn't work very well

",0,72,2008-08-01T13:38:27.133,48,"<p>I want to format my existing comments as 'RDoc comments' so they can be viewed using <code>ri</code>.</p>

<p>What are some recommended resources for starting out using RDoc?</p>
",1,,2089,How do I add existing comments to RDoc in Ruby?,<ruby><rdoc>,2,,Question
8,63,"maybe. but you have bigger problems. gettimeofday() can result in incorrect timings if there are processes on your system that change the timer (ie, ntpd). on a ""normal"" linux, though, i believe the resolution of gettimeofday() is 10us. it can jump forward and backward and time, consequently, based on the processes running on your system. this effectively makes the answer to your question no.

you should look into clock_gettime(clock_monotonic) for timing intervals. it suffers from several less issues due to things like multi-core systems and external clock settings.

also, look into the clock_getres() function.
",5,88,2008-08-01T14:36:18.640,106,"<p>I am porting a game, that was originally written for the Win32 API, to Linux (well, porting the OS X port of the Win32 port to Linux).</p>

<p>I have implemented <code>QueryPerformanceCounter</code> by giving the uSeconds since the process start up:     </p>

<pre><code>BOOL QueryPerformanceCounter(LARGE_INTEGER* performanceCount)
{
    gettimeofday(&currentTimeVal, NULL);
    performanceCount->QuadPart = (currentTimeVal.tv_sec - startTimeVal.tv_sec);
    performanceCount->QuadPart *= (1000 * 1000);
    performanceCount->QuadPart += (currentTimeVal.tv_usec - startTimeVal.tv_usec);

    return true;
}
</code></pre>

<p>This, coupled with <code>QueryPerformanceFrequency()</code> giving a constant 1000000 as the frequency, works well <b>on my machine</b>, giving me a 64-bit variable that contains <code>uSeconds</code> since the program's start-up.</p>

<p>So <em>is this portable?</em> I don't want to discover it works differently if the kernel was compiled in a certain way or anything like that. I am fine with it being non-portable to something other than Linux, however.</p>
",0,98.0,44472,Is gettimeofday() guaranteed to be of microsecond resolution?,<linux><winapi><visual-c++><unix><timer>,10,0.0,Question
9,15,"version control with subversion

a very good resource for source control in general. not really tortoisesvn specific, though.
",0,90,2008-08-01T14:41:24.277,164,"<p>How do you <a href=""http://svnbook.red-bean.com/en/1.8/svn.branchmerge.html"" rel=""noreferrer"">branch and merge</a> with Apache Subversion using the TortoiseSVN client? </p>
",0,1466832.0,56334,How do you branch and merge with TortoiseSVN?,<svn><tortoisesvn><branch><branching-and-merging>,3,0.0,Question
10,65,"this has religious war potential, but it seems to me that if you're using a getter/setter, you should use it internally as well - using both will lead to maintenance problems down the road (e.g. somebody adds code to a setter that needs to run every time that property is set, and the property is being set internally w/o that setter being called).
",3,126,2008-08-01T16:10:30.337,105,"<p>What is the ""purist"" or ""correct"" way to access an object's properties from within an object method that is not a getter/setter method?</p>

<p>I know that from outside of the object you should use a getter/setter, but from within would you just do:</p>

<p>Java:</p>

<pre><code>String property = this.property;
</code></pre>

<p>PHP:</p>

<pre><code>$property = $this->property;
</code></pre>

<p>or would you do:</p>

<p>Java:</p>

<pre><code>String property = this.getProperty();
</code></pre>

<p>PHP:</p>

<pre><code>$property = $this->getProperty();
</code></pre>

<p>Forgive me if my Java is a little off, it's been a year since I programmed in Java...</p>

<p><strong>EDIT:</strong></p>

<p>It seems people are assuming I am talking about private or protected variables/properties only. When I learned OO I was taught to use getters/setters for every single property even if it was public (and actually I was told never to make any variable/property public). So, I may be starting off from a false assumption from the get go. It appears that people answering this question are maybe saying that you should have public properties and that those don't need getters and setters, which goes against what I was taught, and what I was talking about, although maybe that needs to be discussed as well. That's probably a good topic for a different question though...</p>
",1,127.0,23701,How would you access Object properties from within an object method?,<java><php><oop><theory>,18,0.0,Question
11,59,"the best way that i have found is the mysql migration toolkit provided by mysql.  i have used it successfully for some large migration projects.
",4,129,2008-08-01T16:22:42.420,90,"<p>I've been banging my head against <code>SQL Server 2005</code> trying to get a lot of data out.  I've been given a database with nearly 300 tables in it and I need to turn this into a MySQL database.  My first call was to use bcp but unfortunately it doesn't produce valid CSV - strings aren't encapsulated, so you can't deal with any row that has a string with a comma in it (or whatever you use as a delimiter) and I would still have to hand write all of the create table statements, as obviously CSV doesn't tell you anything about the data types.</p>

<p>What would be better is if there was some tool that could connect to both SQL Server and MySQL, then do a copy. You lose views, stored procedures, trigger, etc, but it isn't hard to copy a table that only uses base types from one DB to another... is it?</p>

<p>Does anybody know of such a tool?  I don't mind how many assumptions it makes or what simplifications occur, as long as it supports integer, float, datetime and string. I have to do a lot of pruning, normalising, etc. anyway so I don't care about keeping keys, relationships or anything like that, but I need the initial set of data in fast!</p>
",5,,96578,How to export data from SQL Server 2005 to MySQL,<mysql><sql-server><csv><sql-server-2005><bcp>,5,0.0,Question
12,43,"the funny thing is i wrote a php media gallery for all my musics 2 days ago. i had a similar problem.  i'm using http://musicplayer.sourceforge.net/ for the player. and the playlist is built via php. all music requests go to a script called xfer.php?file=whatever
$filename = base64_url_decode($_request['file']);
header(""cache-control: public"");
header('content-disposition: attachment; filename='.basename($filename));
header(""content-transfer-encoding: binary"");
header('content-length: '. filesize($filename));

//  put either file counting code here, either a db or static files
//
readfile($filename);  //and spit the user the file

function base64_url_decode($input) {
    return base64_decode(strtr($input, '-_,', '+/='));
}

and when you call files use something like:
function base64_url_encode($input) {
     return strtr(base64_encode($input), '+/=', '-_,');
}

http://us.php.net/manual/en/function.base64-encode.php
if you are using some javascript or a flash player (jw player for example) that requires the actual link of an mp3 file or whatever, you can append the text ""&type=.mp3"" so the final link becomes something like:
""www.example.com/xfer.php?file=34842ffjfjxfh&type=.mp3"". that way it looks like it ends with an mp3 extension without affecting the file link.
",6,146,2008-08-01T17:14:58.337,89,"<p>I have a website that plays mp3s in a flash player. If a user clicks 'play' the flash player automatically downloads an mp3 and starts playing it. </p>

<p>Is there an easy way to track how many times a particular song clip (or any binary file) has been downloaded?</p>

<hr>

<blockquote>
  <p>Is the play link a link to the actual
  mp3 file or to some javascript code
  that pops up a player?</p>
  
  <p>If the latter, you can easily add your
  own logging code in there to track the
  number of hits to it.</p>
  
  <p>If the former, you'll need something
  that can track the web server log
  itself and make that distinction. My
  hosting plan comes with Webalizer,
  which does this nicely.</p>
</blockquote>

<p>It's a javascript code so that answers that. </p>

<p>However, it would be nice to know how to track downloads using the other method (without switching hosts).</p>
",0,152.0,21381,How do I track file downloads,<php><apache><logging><download><analytics>,8,0.0,Question
13,32,"looks like jeff is using cruisecontrol.net based on some leafing through the podcast transcripts. this seems to have automated deployment capabilities from source control to production. might this be where the insertion is happening?
",2,163,2008-08-01T18:00:13.830,101,"<p>Stack Overflow has a subversion version number at the bottom:</p>

<blockquote>
  <p>svn revision: 679</p>
</blockquote>

<p>I want to use such automatic versioning with my <code>.NET Web Site/Application</code>, Windows Forms, WPD projects/solutions.</p>

<p>How do I implement this?</p>
",3,170.0,9425,How do I sync the SVN revision number with my ASP.NET web site?,<.net><asp.net><svn><versioning>,7,0.0,Question
14,188,"martin fowler wrote my favorite article on the subject, http://martinfowler.com/articles/evodb.html.  i choose not to put schema dumps in under version control as alumb and others suggest because i want an easy way to upgrade my production database.

for a web application where i'll have a single production database instance, i use two techniques:

database upgrade scripts

a sequence database upgrade scripts that contain the ddl necessary to move the schema from version n to n+1.  (these go in your version control system.)  a _version_history_ table, something like

create table versionhistory (
    version int primary key,
    upgradestart datetime not null,
    upgradeend datetime
    );


gets a new entry every time an upgrade script runs which corresponds to the new version.

this ensures that it's easy to see what version of the database schema exists and that database upgrade scripts are run only once.  again, these are not database dumps.  rather, each script represents the changes necessary to move from one version to the next.  they're the script that you apply to your production database to ""upgrade"" it.

developer sandbox synchronization


a script to backup, sanitize, and shrink a production database.  run this after each upgrade to the production db.
a script to restore (and tweak, if necessary) the backup on a developer's workstation.  each developer runs this script after each upgrade to the production db.


a caveat: my automated tests run against a schema-correct but empty database, so this advice will not perfectly suit your needs.
",8,173,2008-08-01T18:33:08.333,337,"<p>I want to get my databases under version control.</p>
<p>I'll always want to have at least <em>some</em> data in there (as <a href=""https://stackoverflow.com/users/80/alumb"">alumb</a> mentions: user types and administrators). I'll also often want a large collection of generated test data for performance measurements.</p>
<p>How would I apply version control to my database?</p>
",1,516.0,114312,How to do version control for SQL Server database?,<sql-server><database><svn><version-control>,30,0.0,Question
15,36,"you can print from the command line using the following:


  rundll32.exe
  %windir%\system32\mshtml.dll,printhtml
  ""%1""


where %1 is the file path of the html file to be printed.

if you don't need to print from memory (or can afford to write to the disk in a temp file) you can use:

using (process printprocess = new process())
{
    string systempath = environment.getfolderpath(environment.specialfolder.system);
    printprocess.startinfo.filename = systempath + @""\rundll32.exe"";
    printprocess.startinfo.arguments = systempath + @""\mshtml.dll,printhtml """""" + filetoprint + @"""""""";
    printprocess.start();
}


n.b. this only works on windows 2000 and above i think.
",2,174,2008-08-01T18:33:48.287,86,"<p>I want to print HTML from a C# web service.  The web browser control is overkill, and does not function well in a service environment, nor does it function well on a system with very tight security constraints.  Is there any sort of free <code>.NET</code> library that will support the printing of a basic HTML page?  Here is the code I have so far, which does not run properly.</p>

<pre><code>public void PrintThing(string document)
{
    if (Thread.CurrentThread.GetApartmentState() != ApartmentState.STA)
    {
        Thread thread =
            new Thread((ThreadStart) delegate { PrintDocument(document); });
        thread.SetApartmentState(ApartmentState.STA);
        thread.Start();
    }
    else
    {
        PrintDocument(document);
    }
}

protected void PrintDocument(string document)
{
    WebBrowser browser = new WebBrowser();
    browser.DocumentText = document;
    while (browser.ReadyState != WebBrowserReadyState.Complete)
    {
        Application.DoEvents();
    }
    browser.Print();
}
</code></pre>

<p>This works fine when called from UI-type threads, but nothing happens when called from a service-type thread.  Changing <code>Print()</code> to <code>ShowPrintPreviewDialog()</code> yields the following IE script error:</p>

<blockquote>
  <p><strong>Error:</strong> <code>dialogArguments.___IE_PrintType</code> is null or not an object. </p>
  
  <p>URL: <code>res://ieframe.dll/preview.dlg</code></p>
</blockquote>

<p>And a small empty print preview dialog appears.</p>
",4,,17297,How do I print an HTML document from a web service?,<c#><html><web-services><printing>,7,0.0,Question
